tradeN;symbol;type;shares;entrySignal;entryTime;entryPrice;exitSignal;exitTime;exitPrice;profit;runUp;drawDown
71;61_QQQ_1D_L_A,<br>QQQ (1 Day );Long;229;Entry;2007-02-13 12:00:00 AM;43.78;PTx;2007-02-15 12:00:00 AM;44.83;237.949999999999;239.2;-19.57
72;88_DIA_1D_L_A,<br>DIA (1 Day );Long;80;Entry;2007-02-13 12:00:00 AM;126.02;ProfX;2007-02-15 12:00:00 AM;127.77;137.5;149.15;-4.45
73;5_GDX_1D_L_A,<br>GDX (1 Day );Short;249;Entry;2007-02-12 12:00:00 AM;39.94;TimeX;2007-02-16 12:00:00 AM;40.94;-251.5;130.72;-314.99
74;23_IWM_1D_L_A,<br>IWM (1 Day );Long;125;Entry;2007-02-12 12:00:00 AM;80.28;TimeX;2007-02-16 12:00:00 AM;81.17;108.75;125;-87.5
75;28_SPY_1D_L_A,<br>SPY (1 Day );Long;70;Entry;2007-02-13 12:00:00 AM;143.77;TimeX;2007-02-16 12:00:00 AM;145.44;114.399999999999;151.35;-1.95
76;54_QQQ_1D_L_A,<br>QQQ (1 Day );Long;228;Entry;2007-02-12 12:00:00 AM;43.87;TimeX;2007-02-16 12:00:00 AM;44.71;189.020000000001;224.47;-65.09
77;75_DIA_1D_L_A,<br>DIA (1 Day );Long;80;Entry;2007-02-13 12:00:00 AM;126.02;ProfX;2007-02-16 12:00:00 AM;127.57;121.500000000001;149.15;-4.45
78;95_TLT_1D_L_A,<br>TLT (1 Day );Long;114;Entry;2007-02-13 12:00:00 AM;87.49;PTx;2007-02-16 12:00:00 AM;88.68;133.160000000001;134.41;-34.31
79;22_SPY_1D_L_A,<br>SPY (1 Day );Long;69;Entry;2007-02-14 12:00:00 AM;144.8;ProfX;2007-02-20 12:00:00 AM;146.04;83.059999999999;95.35;-2.63
80;64_QQQ_1D_L_A,<br>QQQ (1 Day );Long;228;Entry;2007-02-14 12:00:00 AM;44.04;PTx;2007-02-20 12:00:00 AM;44.98;211.820000000001;213.07;-1.25
81;66_IWM_1D_L_A,<br>IWM (1 Day );Long;125;Entry;2007-02-13 12:00:00 AM;80.23;ProfX;2007-02-20 12:00:00 AM;81.95;212.5;240;-81.25
